Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num
30,2,10,1.15,2,2,0.084,0,0,1
30,2,20,1.15,2,2,0.069,0,0,1
30,2,30,1.15,2,2,0.072,0,0,1
30,2,40,1.15,2,2,0.073,0,0,1
30,2,50,1.15,2,2,0.063,0,0,1
30,2,60,1.15,2,2,0.057,0,0,1
30,2,70,1.15,2,2,0.072,0,0,1
30,2,80,1.15,2,2,0.072,0,0,1
30,2,90,1.15,2,2,0.085,0,0,1
30,2,100,1.15,2,2,0.074,0,0,1
30,3,10,1.15,1,1,0.074,0,0,1
30,3,20,1.15,1,1,0.072,0,0,1
30,3,30,1.15,1,1,0.073,0,0,1
30,3,40,1.15,1,1,0.096,0,0,1
30,3,50,1.15,1,1,0.075,0,0,1
30,3,60,1.15,2,2,0.119,0,0,1
30,3,70,1.15,1,1,0.067,0,0,1
30,3,80,1.15,1,1,0.092,0,0,1
30,3,90,1.15,1,1,0.075,0,0,1
30,3,100,1.15,1,1,0.077,0,0,1
30,4,10,1.15,0,0,0.061,0,0,1
30,4,20,1.15,1,1,0.076,1,1,1
30,4,30,1.15,0,0,0.064,0,0,1
30,4,40,1.15,0,0,0.072,0,0,1
30,4,50,1.15,0,0,0.064,0,0,1
30,4,60,1.15,0,0,0.063,0,0,1
30,4,70,1.15,0,0,0.061,0,0,1
30,4,80,1.15,0,0,0.059,0,0,1
30,4,90,1.15,0,0,0.063,0,0,1
30,4,100,1.15,1,1,0.061,1,1,1
30,5,10,1.15,1,1,0.076,2,2,1
30,5,20,1.15,0,0,0.062,1,1,1
30,5,30,1.15,0,0,0.06,0,0,1
30,5,40,1.15,0,0,0.061,1,1,1
30,5,50,1.15,0,0,0.061,1,1,1
30,5,60,1.15,0,0,0.062,1,1,1
30,5,70,1.15,0,0,0.058,1,1,1
30,5,80,1.15,0,0,0.063,0,0,1
30,5,90,1.15,1,1,0.078,2,2,1
30,5,100,1.15,0,0,0.063,1,1,1
40,2,10,1.15,4,4,0.479,0,0,1
40,2,20,1.15,4,4,0.471,0,0,1
40,2,30,1.15,4,4,0.477,0,0,1
